Recording	Participant	Timeline	TOI	Interval	Media	AOI	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	arab_pizza	1	pizza	calories		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	arab_pizza	1	pizza	duration		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	arab_pizza	1	pizza	easiness		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	arab_pizza	1	pizza	ingredients		13373	262	60	707	51	1323	90	preparation_text		2,72318	13373	262	60	707	51	1323	90	2,72318	15373	3075	73	7707	5	1323	90	15507	3101	93	7727	5	1299	113	0			0			35	2269	1413	313													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	arab_pizza	1	pizza	picture		1880	209	80	457	9	429	87	preparation_text		2,9107	1720	215	80	457	8	429	87	2,91407	2173	543	80	830	4	429	767	2290	573	100	857	4	366	830	0			0			4	366	2269	367,5													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	arab_pizza	1	pizza	preparation_text		11263	245	67	440	46	21419	320	preparation_text		2,81485	11263	245	67	440	46	21419	320	2,81485	13567	13567	13567	13567	1	21419	13567	13617	13617	13617	13617	1	21369	13617	0			0			39																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	arab_pizza	1	pizza	preparation_time		293	293	293	293	1	18749	293	preparation_text		2,77639	293	293	293	293	1	18749	293	2,77639	293	293	293	293	1	18749	293	323	323	323	323	1	18719	323	0			0			0	18719	19043	213,07													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	arab_pizza	1	pizza	rating		0				0			preparation_text			0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	chilli	1	chili	calories		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	chilli	1	chili	duration		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	chilli	1	chili	easiness		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	chilli	1	chili	ingredients		12897	269	97	547	48	685	143	preparation_text	preparation_text	2,76839	12897	269	97	547	48	685	143	2,76839	14050	3513	137	13577	4	685	143	14163	3541	160	13597	4	641	187	0			0			41	641	828	826,85													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	chilli	1	chili	picture		860	172	103	233	5	538	103	preparation_text	preparation_text	2,87704	860	172	103	233	5	538	103	2,87704	907	302	103	603	3	538	103	1003	334	163	623	3	478	163	0			0			2	478	641	346,68													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	chilli	1	chili	preparation_text		16218	250	73	643	65	16428	253	preparation_text	preparation_text	2,90092	16140	252	73	643	64	16428	253	2,90113	18572	18572	18572	18572	1	16428	18572	18595	18595	18595	18595	1	16405	18595	0			0			60	16405		106,89													
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	chilli	1	chili	preparation_time		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
0_Christoph_Haerdl	Christoph_Haerdl	Timeline1	chilli	1	chili	rating		0				0			preparation_text	preparation_text		0				0				0				0			0				0			0			0			0																
